feature,importance
dur,0.012532078674940763
sbytes,0.006798306514026225
dbytes,0.009027156516621232
sttl,0.05369252689381074
dttl,0.046163676780041234
sloss,0.014728717337781439
dloss,0.022526806017835684
sload,0.018701336544349013
dload,0.0075742189785688654
spkts,0.0028352437636211696
dpkts,0.011593214615101486
swin,0.002524733858349331
dwin,0.0003002175260483837
stcpb,0.0011259045450670228
dtcpb,0.0014121262600088657
smeansz,0.004453769965066304
dmeansz,0.0051291723463437345
trans_depth,0.00041939127126597265
res_bdy_len,0.0005791727064731238
sjit,0.00305047211153888
djit,0.002462295509540979
sintpkt,0.013620557008195906
dintpkt,0.007169690266959083
tcprtt,0.001439099385530456
synack,0.00360869042249398
ackdat,0.01576186062812264
is_sm_ips_ports,3.15052534253199e-05
ct_state_ttl,0.005782229655473346
ct_flw_http_mthd,0.0021331938724684697
is_ftp_login,0.00014508985635040613
ct_ftp_cmd,7.050609279660104e-05
ct_srv_src,0.0857687586843945
ct_srv_dst,0.06159761746771877
ct_dst_ltm,0.09123868008616859
ct_src_ltm,0.1087264224126675
ct_src_dport_ltm,0.0873153660498716
ct_dst_sport_ltm,0.12540682868232328
ct_dst_src_ltm,0.12743497077649615
proto_3pc,0.0
proto_a/n,0.0
proto_aes-sp3-d,0.0
proto_any,0.0
proto_argus,0.0
proto_aris,0.0
proto_arp,3.87725794383236e-05
proto_ax.25,0.0
proto_bbn-rcc,0.0
proto_bna,0.0
proto_br-sat-mon,0.0
proto_cbt,6.453373760675703e-08
proto_cftp,0.0
proto_chaos,0.0
proto_compaq-peer,0.0
proto_cphb,0.0
proto_cpnx,0.0
proto_crtp,0.0
proto_crudp,0.0
proto_dcn,0.0
proto_ddp,0.0
proto_ddx,0.0
proto_dgp,0.0
proto_egp,0.0
proto_eigrp,0.0
proto_emcon,0.0
proto_encap,0.0
proto_esp,0.0
proto_etherip,0.0
proto_fc,0.0
proto_fire,0.0
proto_ggp,0.0
proto_gmtp,0.0
proto_gre,1.4642922848400412e-06
proto_hmp,0.0
proto_i-nlsp,0.0
proto_iatp,0.0
proto_ib,0.0
proto_icmp,8.129096293293422e-07
proto_idpr,0.0
proto_idpr-cmtp,0.0
proto_idrp,0.0
proto_ifmp,0.0
proto_igmp,0.0
proto_igp,0.0
proto_il,0.0
proto_ip,0.0
proto_ipcomp,0.0
proto_ipcv,0.0
proto_ipip,0.0
proto_iplt,0.0
proto_ipnip,0.0
proto_ippc,0.0
proto_ipv6,0.0
proto_ipv6-frag,0.0
proto_ipv6-icmp,4.842253086681765e-07
proto_ipv6-no,0.0
proto_ipv6-opts,0.0
proto_ipv6-route,0.0
proto_ipx-n-ip,0.0
proto_irtp,0.0
proto_isis,0.0
proto_iso-ip,0.0
proto_iso-tp4,0.0
proto_kryptolan,0.0
proto_l2tp,0.0
proto_larp,0.0
proto_leaf-1,0.0
proto_leaf-2,0.0
proto_llc,2.1189491769794128e-09
proto_lldp,2.8409186945720696e-06
proto_merit-inp,0.0
proto_mfe-nsp,0.0
proto_mhrp,0.0
proto_micp,0.0
proto_mobile,4.902366572623492e-07
proto_mtp,0.0
proto_mux,0.0
proto_narp,0.0
proto_netblt,0.0
proto_nsfnet-igp,0.0
proto_nvp,0.0
proto_ospf,0.0
proto_pgm,0.0
proto_pim,0.0
proto_pipe,0.0
proto_pnni,0.0
proto_pri-enc,0.0
proto_prm,0.0
proto_ptp,0.0
proto_pup,0.0
proto_pvp,0.0
proto_qnx,0.0
proto_rdp,0.0
proto_rsvp,0.0
proto_rtcp,0.0
proto_rtp,0.0
proto_rvd,4.608060174913753e-07
proto_sat-expak,0.0
proto_sat-mon,0.0
proto_sccopmce,0.0
proto_scps,0.0
proto_sctp,3.365577058931041e-07
proto_sdrp,0.0
proto_secure-vmtp,0.0
proto_sep,7.587119886085588e-07
proto_skip,0.0
proto_sm,0.0
proto_smp,0.0
proto_snp,0.0
proto_sprite-rpc,0.0
proto_sps,0.0
proto_srp,1.2876020307271428e-09
proto_st2,0.0
proto_stp,0.0
proto_sun-nd,4.1156337189951285e-07
proto_swipe,0.0
proto_tcf,0.0
proto_tcp,0.0012560893628998982
proto_tlsp,0.0
proto_tp++,0.0
proto_trunk-1,0.0
proto_trunk-2,0.0
proto_ttp,0.0
proto_udp,0.0014847734489959819
proto_udt,5.0996263586636975e-11
proto_unas,9.258200797587353e-05
proto_uti,0.0
proto_vines,0.0
proto_visa,0.0
proto_vmtp,0.0
proto_vrrp,0.0
proto_wb-expak,0.0
proto_wb-mon,0.0
proto_wsn,5.097428035463453e-09
proto_xnet,0.0
proto_xns-idp,5.334900702141977e-07
proto_xtp,0.0
proto_zero,0.0
state_ACC,0.0
state_CLO,9.290482914113123e-07
state_CON,0.003618300405025924
state_ECO,1.4411799303624976e-08
state_ECR,0.0
state_FIN,0.007361187742497682
state_INT,0.007501376537771342
state_MAS,0.0
state_MHR,0.0
state_NNS,0.0
state_NRS,0.0
state_PAR,2.1902479542505465e-07
state_REQ,0.0002576619828196581
state_RSP,1.1670138923900685e-08
state_RST,0.006576730947583531
state_TST,0.0
state_TXD,0.0
state_URF,0.0
state_URFIL,0.0
state_URH,0.0
state_URHPRO,3.2809383040913485e-07
state_URN,0.0
state_URP,1.2016262048434508e-09
state_no,6.907124650139303e-08
service_-,0.003154846414279564
service_0,0.0016518457453139595
service_dhcp,8.39554088527686e-07
service_dns,0.000929535400089077
service_ftp,6.0400099729838745e-06
service_ftp-data,0.0002805492794186106
service_http,0.00027893982404023543
service_irc,2.363408104696163e-09
service_pop3,9.09670390395217e-06
service_radius,5.785274286439381e-08
service_smtp,1.5997642297599208e-06
service_snmp,0.0
service_ssh,5.9372787788135975e-05
service_ssl,0.000547954625688978
